time,open,high,low,close,date,time_str
1738824975000,1738824976735,1738824978492,1738824976735,1738824978492,2025-02-06,06:56:15.000Z
1738824980000,1738824980645,1738824980645,1738824980645,1738824980645,2025-02-06,06:56:20.000Z
1738824980000,1738824983461,1738824983461,1738824983461,1738824983461,2025-02-06,06:56:20.000Z
1738824985000,1738824986298,1738824989592,1738824986298,1738824989592,2025-02-06,06:56:25.000Z
1738824990000,1738824990607,1738824990607,1738824990607,1738824990607,2025-02-06,06:56:30.000Z
1738824990000,1738824991713,1738824991713,1738824991713,1738824991713,2025-02-06,06:56:30.000Z
1738824995000,1738824995944,1738824995944,1738824995944,1738824995944,2025-02-06,06:56:35.000Z
1738824995000,1738824998010,1738824999996,1738824998010,1738824999996,2025-02-06,06:56:35.000Z
1738825000000,1738825001447,1738825003633,1738825001447,1738825003633,2025-02-06,06:56:40.000Z
1738825005000,1738825005506,1738825005506,1738825005506,1738825005506,2025-02-06,06:56:45.000Z
1738825005000,1738825008378,1738825009421,1738825008378,1738825009421,2025-02-06,06:56:45.000Z
1738825010000,1738825010942,1738825010942,1738825010942,1738825010942,2025-02-06,06:56:50.000Z
1738825010000,1738825014082,1738825014082,1738825014082,1738825014082,2025-02-06,06:56:50.000Z
1738825015000,1738825015644,1738825015644,1738825015644,1738825015644,2025-02-06,06:56:55.000Z
1738825015000,1738825017688,1738825019721,1738825017688,1738825019721,2025-02-06,06:56:55.000Z
1738825020000,1738825021935,1738825023820,1738825021935,1738825023820,2025-02-06,06:57:00.000Z
1738825025000,1738825025411,1738825025411,1738825025411,1738825025411,2025-02-06,06:57:05.000Z
1738825025000,1738825026982,1738825028828,1738825026982,1738825028828,2025-02-06,06:57:05.000Z
1738825030000,1738825030500,1738825030500,1738825030500,1738825030500,2025-02-06,06:57:10.000Z
1738825030000,1738825031525,1738825034577,1738825031525,1738825034577,2025-02-06,06:57:10.000Z
1738825035000,1738825036512,1738825037958,1738825036512,1738825037958,2025-02-06,06:57:15.000Z
1738825040000,1738825040116,1738825040116,1738825040116,1738825040116,2025-02-06,06:57:20.000Z
1738825040000,1738825042816,1738825044513,1738825042816,1738825044513,2025-02-06,06:57:20.000Z
1738825045000,1738825045524,1738825045524,1738825045524,1738825045524,2025-02-06,06:57:25.000Z
1738825045000,1738825047361,1738825049263,1738825047361,1738825049263,2025-02-06,06:57:25.000Z
1738825050000,1738825050652,1738825050652,1738825050652,1738825050652,2025-02-06,06:57:30.000Z
1738825050000,1738825051837,1738825054196,1738825051837,1738825054196,2025-02-06,06:57:30.000Z
1738825055000,1738825055343,1738825055343,1738825055343,1738825055343,2025-02-06,06:57:35.000Z
1738825055000,1738825056570,1738825058591,1738825056570,1738825058591,2025-02-06,06:57:35.000Z
1738825060000,1738825060186,1738825060186,1738825060186,1738825060186,2025-02-06,06:57:40.000Z
1738825060000,1738825062376,1738825064031,1738825062376,1738825064031,2025-02-06,06:57:40.000Z
1738825065000,1738825065346,1738825065346,1738825065346,1738825065346,2025-02-06,06:57:45.000Z
1738825065000,1738825066801,1738825069549,1738825066801,1738825069549,2025-02-06,06:57:45.000Z
1738825070000,1738825070877,1738825070877,1738825070877,1738825070877,2025-02-06,06:57:50.000Z
1738825070000,1738825072142,1738825074159,1738825072142,1738825074159,2025-02-06,06:57:50.000Z
1738825075000,1738825075176,1738825075176,1738825075176,1738825075176,2025-02-06,06:57:55.000Z
1738825075000,1738825076240,1738825079643,1738825076240,1738825079643,2025-02-06,06:57:55.000Z
1738825080000,1738825080659,1738825080659,1738825080659,1738825080659,2025-02-06,06:58:00.000Z
1738825080000,1738825082146,1738825084982,1738825082146,1738825084982,2025-02-06,06:58:00.000Z
1738825085000,1738825086201,1738825088757,1738825086201,1738825088757,2025-02-06,06:58:05.000Z
1738825090000,1738825090035,1738825090035,1738825090035,1738825090035,2025-02-06,06:58:10.000Z
1738825090000,1738825092391,1738825094423,1738825092391,1738825094423,2025-02-06,06:58:10.000Z
1738825095000,1738825095442,1738825095442,1738825095442,1738825095442,2025-02-06,06:58:15.000Z
